t,cycs,q,dqdv
0.0416908449074073,1,97.6602272727273,6.36118928163267
0.500255642361111,12,98.3583090909091,6.28375498475941
1.00050784259259,24,98.4053,6.25621986658974
1.50075886458333,36,98.4396909090909,6.18508705687018
2.00100782638889,48,98.4234363636364,6.11427487247864
2.50125846990741,60,98.4045090909091,6.15791589648974
3.00145191087963,72,98.3695363636364,6.00278448924555
3.50170471296296,84,98.3266818181818,5.95961429923309
4.00192385416666,96,98.2743090909091,5.99808107560297
4.50206584953703,108,98.2144727272727,5.87870232261329
5.00215197222222,120,98.1298545454545,5.81425749371092
5.50183998148148,132,98.0536545454545,5.67818004826517
6.00110084722222,144,97.9532,5.70482138169086
6.49994180439814,156,97.8429,5.67277033567167
6.99868157291666,168,97.7156363636364,5.61230756787445
7.49703798379629,180,97.5819272727273,5.57531335955423
7.99528204629629,192,97.4409,5.70314385731425
8.49350604166666,204,97.3088,5.4724397374718
8.99187394444444,216,97.1349545454545,5.41562231618424
9.49092367476852,228,96.9568363636364,5.41819263525281
9.99054684259259,240,96.7633727272727,5.40435620980632
10.6648031111111,248,96.3394818181818,5.45665862808676
10.998571099537,256,96.4318727272727,5.34653000480009
11.4989375150463,268,96.2732181818182,5.3337442826222
11.9997639953704,280,96.0647272727273,5.21291129936834
12.5011479965278,292,95.8367363636363,5.09585964067628
13.0027208842593,304,95.5625545454545,5.12515970564146
13.5042040555556,316,95.2546454545455,5.11007833622773
14.0063312118055,328,94.8990454545454,5.09301687859667
14.5088053171296,340,94.5064818181818,4.98820942094252
15.0103855405092,352,94.0678363636364,4.91448736609374
15.5133820983796,364,93.5769545454545,4.82537661797578
16.013996162037,376,92.9954181818182,4.75451561701167
16.5117414398148,388,92.2919545454545,4.54220348418207
17.0062814166667,400,91.4590818181818,4.46294152924896
17.5013053842592,412,90.5401981818182,4.38245931700413
17.9930718888889,424,89.3532745454545,4.27225305845224
18.4810547604167,436,87.9646809090909,4.09246071186651
19.0034455405092,449,86.1341190909091,3.93844144904538
19.5183540659722,462,83.9731636363636,3.79312227523476
20.0177794027778,475,81.6866809090909,3.61235494363145
20.5096147141204,488,79.2803172727273,3.41794879123799
21.0005261296296,501,76.73354,3.22590841491625
21.3053175578704,509,75.1091836363636,3.10304838478383
